Name,Type1,Type2,Evolution
toxicroak,Poison,Fighting,
carnivine,Grass,,
finneon,Water,,
lumineon,Water,,
mantyke,Water,Flying,
snover,Grass,Ice,
abomasnow,Grass,Ice,
weavile,Dark,Ice,
magnezone,Electric,Steel,
lickilicky,Normal,,
rhyperior,Ground,Rock,
tangrowth,Grass,,
electivire,Electric,,
magmortar,Fire,,
togekiss,Fairy,Flying,
yanmega,Bug,Flying,
leafeon,Grass,,
glaceon,Ice,,
gliscor,Ground,Flying,
mamoswine,Ice,Ground,
porygon-z,Normal,,
gallade,Psychic,Fighting,
probopass,Rock,Steel,
dusknoir,Ghost,,
froslass,Ice,Ghost,
rotom,Electric,Ghost,
uxie,Psychic,,
mesprit,Psychic,,
azelf,Psychic,,
dialga,Steel,Dragon,
palkia,Water,Dragon,
heatran,Fire,Steel,
regigigas,Normal,,
giratina-altered,Ghost,Dragon,
cresselia,Psychic,,
phione,Water,,
manaphy,Water,,
darkrai,Dark,,
shaymin-land,Grass,,
arceus,Normal,,
victini,Psychic,Fire,
snivy,Grass,,
servine,Grass,,
serperior,Grass,,
tepig,Fire,,
pignite,Fire,Fighting,
emboar,Fire,Fighting,
oshawott,Water,,
dewott,Water,,
samurott,Water,,
patrat,Normal,,
watchog,Normal,,
lillipup,Normal,,
herdier,Normal,,
stoutland,Normal,,
purrloin,Dark,,
liepard,Dark,,
pansage,Grass,,
simisage,Grass,,
pansear,Fire,,
simisear,Fire,,
panpour,Water,,
simipour,Water,,
munna,Psychic,,
musharna,Psychic,,
pidove,Normal,Flying,
tranquill,Normal,Flying,
unfezant,Normal,Flying,
blitzle,Electric,,
zebstrika,Electric,,
roggenrola,Rock,,
boldore,Rock,,
gigalith,Rock,,
woobat,Psychic,Flying,
swoobat,Psychic,Flying,
drilbur,Ground,,
excadrill,Ground,Steel,
audino,Normal,,
timburr,Fighting,,
gurdurr,Fighting,,
conkeldurr,Fighting,,
tympole,Water,,
palpitoad,Water,Ground,
seismitoad,Water,Ground,
throh,Fighting,,
sawk,Fighting,,
sewaddle,Bug,Grass,
swadloon,Bug,Grass,
leavanny,Bug,Grass,
venipede,Bug,Poison,
whirlipede,Bug,Poison,
scolipede,Bug,Poison,
cottonee,Grass,Fairy,
whimsicott,Grass,Fairy,
petilil,Grass,,
lilligant,Grass,,
basculin-red-striped,Water,,
sandile,Ground,Dark,
krokorok,Ground,Dark,
krookodile,Ground,Dark,
darumaka,Fire,,
darmanitan-standard,Fire,,
maractus,Grass,,
dwebble,Bug,Rock,
crustle,Bug,Rock,
scraggy,Dark,Fighting,
scrafty,Dark,Fighting,
sigilyph,Psychic,Flying,
yamask,Ghost,,
cofagrigus,Ghost,,
tirtouga,Water,Rock,
carracosta,Water,Rock,
archen,Rock,Flying,
archeops,Rock,Flying,
trubbish,Poison,,
garbodor,Poison,,
zorua,Dark,,
zoroark,Dark,,
minccino,Normal,,
cinccino,Normal,,
gothita,Psychic,,
gothorita,Psychic,,
gothitelle,Psychic,,
solosis,Psychic,,
duosion,Psychic,,
reuniclus,Psychic,,
ducklett,Water,Flying,
swanna,Water,Flying,
vanillite,Ice,,
vanillish,Ice,,
vanilluxe,Ice,,
deerling,Normal,Grass,
sawsbuck,Normal,Grass,
emolga,Electric,Flying,
karrablast,Bug,,
escavalier,Bug,Steel,
foongus,Grass,Poison,
amoonguss,Grass,Poison,
frillish,Water,Ghost,
jellicent,Water,Ghost,
alomomola,Water,,
joltik,Bug,Electric,
galvantula,Bug,Electric,
ferroseed,Grass,Steel,
ferrothorn,Grass,Steel,
klink,Steel,,
klang,Steel,,
klinklang,Steel,,
tynamo,Electric,,
eelektrik,Electric,,
eelektross,Electric,,
elgyem,Psychic,,
beheeyem,Psychic,,
litwick,Ghost,Fire,
lampent,Ghost,Fire,
chandelure,Ghost,Fire,
axew,Dragon,,
fraxure,Dragon,,
haxorus,Dragon,,
cubchoo,Ice,,
beartic,Ice,,
cryogonal,Ice,,
shelmet,Bug,,
accelgor,Bug,,
stunfisk,Ground,Electric,
mienfoo,Fighting,,
mienshao,Fighting,,
druddigon,Dragon,,
golett,Ground,Ghost,
golurk,Ground,Ghost,
pawniard,Dark,Steel,
bisharp,Dark,Steel,
bouffalant,Normal,,
rufflet,Normal,Flying,
braviary,Normal,Flying,
vullaby,Dark,Flying,
mandibuzz,Dark,Flying,
heatmor,Fire,,
durant,Bug,Steel,
deino,Dark,Dragon,
zweilous,Dark,Dragon,
hydreigon,Dark,Dragon,
larvesta,Bug,Fire,
volcarona,Bug,Fire,
cobalion,Steel,Fighting,
terrakion,Rock,Fighting,
virizion,Grass,Fighting,
tornadus-incarnate,Flying,,
thundurus-incarnate,Electric,Flying,
reshiram,Dragon,Fire,
zekrom,Dragon,Electric,
landorus-incarnate,Ground,Flying,
kyurem,Dragon,Ice,
keldeo-ordinary,Water,Fighting,
meloetta-aria,Normal,Psychic,
genesect,Bug,Steel,
chespin,Grass,,
quilladin,Grass,,
chesnaught,Grass,Fighting,
fennekin,Fire,,
braixen,Fire,,
delphox,Fire,Psychic,
froakie,Water,,
frogadier,Water,,
greninja,Water,Dark,
bunnelby,Normal,,
diggersby,Normal,Ground,
fletchling,Normal,Flying,
fletchinder,Fire,Flying,
talonflame,Fire,Flying,
scatterbug,Bug,,
spewpa,Bug,,
vivillon,Bug,Flying,
litleo,Fire,Normal,
pyroar,Fire,Normal,
flabebe,Fairy,,
floette,Fairy,,
florges,Fairy,,
skiddo,Grass,,
gogoat,Grass,,
pancham,Fighting,,
pangoro,Fighting,Dark,
furfrou,Normal,,
espurr,Psychic,,
meowstic-male,Psychic,,
honedge,Steel,Ghost,
doublade,Steel,Ghost,
aegislash-blade,Steel,Ghost,
spritzee,Fairy,,
aromatisse,Fairy,,
swirlix,Fairy,,
slurpuff,Fairy,,
inkay,Dark,Psychic,
malamar,Dark,Psychic,
binacle,Rock,Water,
barbaracle,Rock,Water,
skrelp,Poison,Water,
dragalge,Poison,Dragon,
clauncher,Water,,
clawitzer,Water,,
helioptile,Electric,Normal,
heliolisk,Electric,Normal,
tyrunt,Rock,Dragon,
tyrantrum,Rock,Dragon,
amaura,Rock,Ice,
aurorus,Rock,Ice,
sylveon,Fairy,,
hawlucha,Fighting,Flying,
dedenne,Electric,Fairy,
carbink,Rock,Fairy,
goomy,Dragon,,
sliggoo,Dragon,,
goodra,Dragon,,
klefki,Steel,Fairy,
phantump,Ghost,Grass,
trevenant,Ghost,Grass,
pumpkaboo-average,Ghost,Grass,
gourgeist-average,Ghost,Grass,
bergmite,Ice,,
avalugg,Ice,,
noibat,Flying,Dragon,
noivern,Flying,Dragon,
xerneas,Fairy,,
yveltal,Dark,Flying,
zygarde-50,Dragon,Ground,
diancie,Rock,Fairy,
hoopa-confined,Psychic,Ghost,
volcanion,Fire,Water,
rowlet,Grass,Flying,
dartrix,Grass,Flying,
decidueye,Grass,Ghost,
litten,Fire,,
torracat,Fire,,
incineroar,Fire,Dark,
popplio,Water,,
brionne,Water,,
primarina,Water,Fairy,
pikipek,Normal,Flying,
trumbeak,Normal,Flying,
toucannon,Normal,Flying,
yungoos,Normal,,
gumshoos,Normal,,
grubbin,Bug,,
charjabug,Bug,Electric,
vikavolt,Bug,Electric,
crabrawler,Fighting,,
crabominable,Fighting,Ice,
oricorio-baile,Fire,Flying,
cutiefly,Bug,Fairy,
ribombee,Bug,Fairy,
rockruff,Rock,,
lycanroc-midday,Rock,,
wishiwashi-solo,Water,,
mareanie,Poison,Water,
toxapex,Poison,Water,
mudbray,Ground,,
mudsdale,Ground,,
dewpider,Water,Bug,
araquanid,Water,Bug,
fomantis,Grass,,
lurantis,Grass,,
morelull,Grass,Fairy,
shiinotic,Grass,Fairy,
salandit,Poison,Fire,
salazzle,Poison,Fire,
stufful,Normal,Fighting,
bewear,Normal,Fighting,
bounsweet,Grass,,
steenee,Grass,,
tsareena,Grass,,
comfey,Fairy,,
oranguru,Normal,Psychic,
passimian,Fighting,,
wimpod,Bug,Water,
golisopod,Bug,Water,
sandygast,Ghost,Ground,
palossand,Ghost,Ground,
pyukumuku,Water,,
type-null,Normal,,
silvally,Normal,,
minior-meteor,Rock,Flying,
komala,Normal,,
turtonator,Fire,Dragon,
togedemaru,Electric,Steel,
mimikyu,Ghost,Fairy,
bruxish,Water,Psychic,
drampa,Normal,Dragon,
dhelmise,Ghost,Grass,
jangmo-o,Dragon,,
hakamo-o,Dragon,Fighting,
kommo-o,Dragon,Fighting,
tapu-koko,Electric,Fairy,
tapu-lele,Psychic,Fairy,
tapu-bulu,Grass,Fairy,
tapu-fini,Water,Fairy,
cosmog,Psychic,,
cosmoem,Psychic,,
solgaleo,Psychic,Steel,
lunala,Psychic,Ghost,
nihilego,Rock,Poison,
buzzwole,Bug,Fighting,
pheromosa,Bug,Fighting,
xurkitree,Electric,,
celesteela,Steel,Flying,
kartana,Grass,Steel,
guzzlord,Dark,Dragon,
necrozma,Psychic,,
magearna,Steel,Fairy,
marshadow,Fighting,Ghost,
poipole,Poison,,
naganadel,Poison,Dragon,
stakataka,Rock,Steel,
blacephalon,Fire,Ghost,
zeraora,Electric,,
meltan,Steel,,
melmetal,Steel,,
